Identifier,StructureData,,,,,
4ANJ,,,,"5% PEG 8000, 50 MM MES PH 5.5, 100 MM NH4SO4, 20 MM MGCL2, 20 MM NACL AND 3 % PROPAN-2-OL",3.04,59.54
3LVA,"VAPOR DIFFUSION, HANGING DROP",293,5.6,"0.2 M K/Na tartrate 0.1 M Na citrate 2.0 M ammonium sulfate, pH 5.6, VAPOR DIFFUSION, HANGING DROP, temperature 293K",2.44,49.52
4EN1,,298,4.7,"mother liquor consisting of 0.08 M sodium acetate trihydrate, 0.16 M ammonium sulfate, 9% (w/v) PEG4000, and 19% (v/v) glycerol.  Hanging drops contained 2 uL protein solution and 1 uL mother liquor, pH 4.7, VAPOR DIFFUSION, HANGING DROP, temperature 298K",2.79,55.87
5NI3,"VAPOR DIFFUSION, SITTING DROP",291,,"PACT condition C6: 0.1M PCTP Buffer, pH 9.0, 25% PEG 1500",2.35,47.57
6FP7,"VAPOR DIFFUSION, SITTING DROP",293,7,0.1 M imidazole pH 7.0 and 30% MPD,3.3,62.71
6MAS,"VAPOR DIFFUSION, HANGING DROP",293,7,"0.1M Imidazole pH 7.0, 20% PEG 6,000",2.26,45.46
6OGA,"VAPOR DIFFUSION, HANGING DROP",295,5,"50 mM sodium acetate, pH 5.0, 100 mM NaCl, 7-8% PEG 3350",1.9,35.41
6OGB,"VAPOR DIFFUSION, HANGING DROP",295,5,"50 mM sodium acetate, pH 5.0, 100 mM NaCl, 7-8% PEG 3350",1.92,35.85
4U2V,"VAPOR DIFFUSION, HANGING DROP",281,,"4.5% PEG 8000, 40% MPD, 100 mM tri-sodium citrate, 90 mM cacodylate acid pH 6.5 and 1% Octyl glucoside",3.02,59.23
3KPX,"VAPOR DIFFUSION, HANGING DROP",,,"VAPOR DIFFUSION, HANGING DROP",1.92,35.95
4N3D,"VAPOR DIFFUSION, HANGING DROP",293,,"Two microliters of protein 10mg/ml in buffer 20      Tris      8.0 100      NaCl mixed with equal amount of resevoir solution - 0.056    NaH2PO4, 1.344 M K2HPO4 pH 8.2, VAPOR DIFFUSION, HANGING DROP, temperature 293.0K",2.56,52.02
5NHN,"VAPOR DIFFUSION, SITTING DROP",300,,"Condition C6 of the PACT Premier screen:
0.1 M PCTP Buffer, pH 9.0, 25% PEG 1500",3.02,59.29
6KRG,EVAPORATION,289,,"PEG 6000, SODIUM CHLORIDE",2.79,55.95
7A7Q,"VAPOR DIFFUSION, SITTING DROP",293,,"200 mM NaCl
100 mM MES pH 6.0
20 % PEG 6000",2.01,38.72
7A7R,"VAPOR DIFFUSION, SITTING DROP",293,,"200 mM NaCl
100 mM MES pH 6.0
20 % PEG 6000",2.67,53.88
7A7V,"VAPOR DIFFUSION, SITTING DROP",293,,"100 mM Bis-tris pH 5.5
200 mM (NH4)2SO4
16 % PEG 8000",3.02,59.31
7A8J,"VAPOR DIFFUSION, SITTING DROP",293,,"100 mM MES pH 6.5
25 % PEG 550 mme
10 mM ZnSO4",2.67,53.85
4W6S,"VAPOR DIFFUSION, HANGING DROP",298,4.2,"40% PEG300, 0.1M Phosphate-citrate pH 4.2",4.12,70.16
6M63,"VAPOR DIFFUSION, HANGING DROP",293.15,,"Imidazole, PEG 400",2.69,54.22
3PIB,"VAPOR DIFFUSION, HANGING DROP",293,5.5,"25% w/v PEG 3350, 0.2 M ammonium acetate, 0.1 M BIS-TRIS pH 5.5., VAPOR DIFFUSION, HANGING DROP, temperature 293K",2.28,46.12
3PJB,"VAPOR DIFFUSION, HANGING DROP",293,4,"2.4 M ammonium sulfate, pH 4.0, VAPOR DIFFUSION, HANGING DROP, temperature 293K",3.28,62.5
4B30,"VAPOR DIFFUSION, HANGING DROP",,8,"HANGING DROP VAPOR DIFFUSION, A44-KR (15 MG/ML), 1.8 M MGSO4, 100 MM BICINE PH 8, 2% GLYCEROL",3.96,69
4HVF,"VAPOR DIFFUSION, HANGING DROP",293,5.5,"20 mM Tris pH 8.0, 200 mM NaCl, 5 mM EDTA mixed with an equal amount of reservoir solutions: 0.2M MgCl2x6H2O, 0.1M BIS-Tris pH 5.5, 25% PEG3350, VAPOR DIFFUSION, HANGING DROP, temperature 293.0K",2.23,44.92
4JEO,"VAPOR DIFFUSION, HANGING DROP",293,7,"9 mg/ml of lanRFP in 20 mM  Tris pH 8.0, 200 mM NaCl, 5 mM EDTA mixed with an equal amount of reservoir solution - 1M Na-citrate, 0.1M Tris pH 7.0 , VAPOR DIFFUSION, HANGING DROP, temperature 293.0K",3.96,68.91
4JGE,"VAPOR DIFFUSION, HANGING DROP",293,7,"35.6 mg/ml of lanRFP-   S83 in 20 mM Tris pH 8.0, 200 mM NaCl, 5 mM EDTA mixed with an equal amount of reservoir solution - 0.2M Na2HPO4 0.1M Tris pH 7.0 20% PEG3350  , VAPOR DIFFUSION, HANGING DROP, temperature 293.0K",3.93,68.69
4W7D,"VAPOR DIFFUSION, HANGING DROP",298,9.5,"20% PEG8000, 0.1M CHES pH9.5",2.52,51.24
6ZWB,"VAPOR DIFFUSION, HANGING DROP",293,,"PEG 3000, ammonium sulfate, bis-tris methane",2.36,47.87
6ZWC,"VAPOR DIFFUSION, HANGING DROP",293,,"PEG 3000, ammonium sulfate, bis-tris methane",2.36,47.89
7CAO,"VAPOR DIFFUSION, HANGING DROP",293,,"PEG3350, sodium chloride, citrate, pH5.4",4.7,77.35
7Z7O,"VAPOR DIFFUSION, HANGING DROP",293,,"100 mM HEPES pH 7.5 and 18% w/v PEG 8,000",1.6,23.14
7Z7Q,"VAPOR DIFFUSION, HANGING DROP",293,6.5,100 mM HEPES pH 6.5 and 22% PEG8000 (w/v),,
5DQB,"VAPOR DIFFUSION, HANGING DROP",293,8,"0.1 M Citric acid pH 5.5, 1 M LiCl, 30 % PEG 6000",2.37,48.17
5DRF,"VAPOR DIFFUSION, HANGING DROP",293,5.5,"0.1 M Citric acid pH 5.5, 1 M LiCl, 30 % PEG 6000",2.17,43.32
5DRG,"VAPOR DIFFUSION, HANGING DROP",293,,"0.1 M Citric acid pH 5.5, 1 M LiCl, 30 % PEG 6000. Prior to data collection the pH of cryoprotectant was adjusted to 10.0  by 4 M Tris base.",2.17,43.32
5KTG,"VAPOR DIFFUSION, HANGING DROP",293,,"7-12% PEG3350, 20% MPD, 100 mM Tris, pH 7.0-8.5, 0.5% CHAPS",5.98,79.44
7CK5,,,,,,
6UQE,,,,,,
6UQO,,,,,,
3AKO,"VAPOR DIFFUSION, SITTING DROP",293,7.5,"25% PEG 3350, 0.1M HEPES, 0.2M lithium sulfate , pH 7.5, VAPOR DIFFUSION, SITTING DROP, temperature 293K",2.2,44.07
7KVT,"VAPOR DIFFUSION, SITTING DROP",294,,"40 mM Na cacodylate pH 7.0, 80 mM NaCl, 12 mM spermine hydrochloride, 36% (v/v) MPD, 40 mM NaI, and 1 mM iridium (III) hexammine",2.59,52.42
7SWT,"VAPOR DIFFUSION, SITTING DROP",293,6,"20% (w/v) polyethylene glycol 8000, 0.2 M sodium acetate, 0.1 M sodium MES (pH 6)",2.42,49.26
7VCM,"VAPOR DIFFUSION, SITTING DROP",293,,"0.1M MES pH 6.0, 20% PEG6000",2.31,46.78
7Z7P,"VAPOR DIFFUSION, HANGING DROP",293,,"0.1 M sodium acetate trihydrate (final pH 5.6), 24% PEG4000 (w/v), 0.2 M ammonium sulphate",2.64,53.36
7KVV,"VAPOR DIFFUSION, SITTING DROP",294,,"40 mM Na cacodylate pH 7.0, 80 mM NaCl, 12 mM spermine hydrochloride, 36% (v/v) MPD, and 40 mM NaI",2.62,53.13
7SWR,"VAPOR DIFFUSION, SITTING DROP",293,,"20% w/v polyethylene glycol 3350, 0.2 M Potassium thiocyanate",3.36,63.35
4Q7U,"VAPOR DIFFUSION, SITTING DROP",293,7.5,"0.1 M HEPES, PEG1000, pH 7.5, VAPOR DIFFUSION, SITTING DROP, temperature 293K",1.87,34.1
5EXB,"VAPOR DIFFUSION, HANGING DROP",293,,"0.2 M Mg formate, 20% PEG 3350",2.13,42.32
5Y00,"VAPOR DIFFUSION, HANGING DROP",298,5.5,"Ammonium phosphate, sodium citrate, sodium chloride, HEPES, pH5.5",5.74,78.55
6J1B,"VAPOR DIFFUSION, HANGING DROP",298,5,"mmonium phosphate, sodium citrate, sodium chloride, HEPES, pH5.0",5.77,78.69
7KVU,"VAPOR DIFFUSION, SITTING DROP",294,,"40 mM Na cacodylate pH 7.0, 80 mM NaCl, 12 mM spermine hydrochloride, 36% (v/v) MPD, and 40 mM NaI",2.59,52.5
7X5V,,,,,,
4BDU,,,,"10% PEG3350, 20% MPD, 0.5% CHAPS, 0.1 M TRIS PH 8.0",3.75,67.22
6LZ2,"VAPOR DIFFUSION, SITTING DROP",293,6.5,"0.2M ammonium acetate, 25 %(w/v) polyethylene glycol 3350, 0.1M Bis-Tris pH 6.5",2.35,47.7
7FBS,,,,,,
7O7C,"VAPOR DIFFUSION, HANGING DROP",293.15,,100 mM HEPES pH 7.8 - 8.4 and 1.7 - 2.4 M ammonium sulfate,1.8,31.74
7O7D,"VAPOR DIFFUSION, HANGING DROP",293,,100 mM HEPES pH 7.8 - 8.4 and 1.7 - 2.4 M ammonium sulfate,1.93,36.18
7O7E,"VAPOR DIFFUSION, HANGING DROP",293,7.8,"1.7 M ammonium sulfate, 100 mM HEPES pH 7.8",1.97,37.62
7O7H,"VAPOR DIFFUSION, HANGING DROP",293,8.2,"1.8 M ammonium sulfate, 100 mM HEPES pH 8.2",1.93,36.4
7O7U,BATCH MODE,293,8,"100 mM HEPES pH 8.0, 2 M ammonium sulphate",2.05,39.88
7O7V,BATCH MODE,293,8,"100 mM HEPES pH 8.0, 2 M ammonium sulphate",2.05,40.1
7O7W,BATCH MODE,293,8,"100 mM HEPES pH 8.0, 2 M ammonium sulphate",2.06,40.25
7O7X,BATCH MODE,293,8,"100 mM HEPES pH 8.0, 2 M ammonium sulphate",2.04,39.78
3H1O,"VAPOR DIFFUSION, HANGING DROP",293,3.5,"80mM citric acid, 20% PEG 3350, pH 3.5, VAPOR DIFFUSION, HANGING DROP, temperature 293K",2.47,50.27
7CZ0,"VAPOR DIFFUSION, SITTING DROP",293,6.5,"14.4 %(w/v) PEG 8000, 160mM calcium acetate, 20% (v/v) glycerol, 80mM sodium cacodylate / HCl pH 6.5",3.12,64.93
6GEL,VAPOR DIFFUSION,293,7,"0.2 M sodium formiate, 5 mM calcium chloride, 18 % PEG 3350",3.08,60.13
6ZSM,"VAPOR DIFFUSION, HANGING DROP",292,8.8,"0.20 M sodium formate, 0.1 M Bis-Tris-Propane buffer pH 8.5, 19% (w/v) PEG 3350",3.78,67.49
6ZSN,"VAPOR DIFFUSION, HANGING DROP",292,8.5,"0.20 M sodium formate, 0.1 M Bis-Tris-Propane buffer pH 8.5, 19% (w/v) PEG 3350",3.6,65.81
6J1A,"VAPOR DIFFUSION, HANGING DROP",298,5.5,"Ammonium phosphate, sodium citrate, sodium chloride, HEPES, pH5.5",5.78,78.74
6J1C,"VAPOR DIFFUSION, HANGING DROP",298,5,"Ammonium phosphate, sodium citrate, sodium chloride, HEPES, pH5.0",5.83,78.89
6JXF,"VAPOR DIFFUSION, HANGING DROP",298,5.5,"Ammonium phosphate, sodium citrate, sodium chloride, HEPES, pH5.5",5.79,78.77
6WSG,,,,,,
6VAM,,,,,,
4PA0,"VAPOR DIFFUSION, HANGING DROP",295,6,"Tacsimate, pH 6.0, PEG 3350, glycerol, MgCL2, TCEP and ligand, omecamptiv mercarbil",2.64,53.4
6VAL,,,,,,
3EVR,,,,,3.92,68.65
3EVU,,,,,2.04,39.77
3EVV,,,,,1.97,37.61
3O77,"VAPOR DIFFUSION, HANGING DROP",293,6.4,"Reservoir: 50mM Imidazol, 1.9M Na2malonate pH 6.4; Protein stock solution: 50mM Tris HCl (pH 7.4), 150mM NaCl, 10mM dithiothreitol, protein 4.1mg/ml; Drop ratio reservoir/protein = 1/3, VAPOR DIFFUSION, HANGING DROP, temperature 293K",2.3,46.57
3O78,"VAPOR DIFFUSION, HANGING DROP",293,5.5,"Reservoir: 100mM Tris HCL (pH 5.5), 100mM (NH4)2SO4, 21% PEG 3350; Protein stock: 7.6 mg/ml Protein, 50mM Tris HCl (pH 7.4), 150mM NaCl; Seed stock solution: 20mM CaCl2, 20% PEG 3350, VAPOR DIFFUSION, HANGING DROP, temperature 293K",2.08,40.95
6WRF,,,,,,
6ZUI,"VAPOR DIFFUSION, HANGING DROP",283.15,8,"Tris (0.1 M, pH 8), CaCl2 (0.1 M), MgCl2 (0.1 M) and PE15/4 (15%)

Protein concentration:7 mg/mL",2.21,44.4
3EK4,"VAPOR DIFFUSION, HANGING DROP",298,8,"0.1 M Magnesium formate dihydrate, 15% w/v Polyethylene glycol 3,350, pH 8, VAPOR DIFFUSION, HANGING DROP, temperature 298K",2.41,48.89
3NT3,"VAPOR DIFFUSION, SITTING DROP",298,4.5,"0.1 M Na-acetate, 25% PEG 3350, pH 4.5, VAPOR DIFFUSION, SITTING DROP, temperature 298K",2.04,39.65
4RYS,"VAPOR DIFFUSION, HANGING DROP",293,4.8,"14mM KH2PO4, pH 4.8, 14% PEG3350, VAPOR DIFFUSION, HANGING DROP, temperature 293.0K",3.05,59.61
7PD0,VAPOR DIFFUSION,295,7.5,30% PEG 4000.,2.21,44.32
6BBO,"VAPOR DIFFUSION, SITTING DROP",293,,"NaI, PEG3350",3.14,60.84
8DFL,,,,,,
3BX9,,293,2,"20% w/v PEG 3350, 0.2M ammonium citrate tribasic, 0.4M citric acid, pH 2.0, VAPOR DIFFUSION, HANGING DROP, temperature 293K",2.62,52.97
3EK7,"VAPOR DIFFUSION, HANGING DROP",298,8.5,"0.2 M lithium sulfate monohydrate, 0.1 M Tris-HCl pH 8.5, 30%(w/v) polyethylene glycol 4000, VAPOR DIFFUSION, HANGING DROP, temperature 298K",1.99,38.06
3EK8,"VAPOR DIFFUSION, HANGING DROP",298,8,"0.1 M Magnesium formate dihydrate, 15% w/v Polyethylene glycol 3,350, pH 8, VAPOR DIFFUSION, HANGING DROP, temperature 298K",3.5,64.81
3EKJ,"VAPOR DIFFUSION, HANGING DROP",298,5.5,"0.2 M Lithium sulfate monohydrate, 0.1 M BIS-TRIS pH 5.5, 25% w/v Polyethylene glycol 3,350, VAPOR DIFFUSION, HANGING DROP, temperature 298K",2.13,42.29
3SG2,"VAPOR DIFFUSION, SITTING DROP",293,8.5,"0.2 M ammonium acetate, 0.1 M Tris, pH 8.5, 25% PEG3350, VAPOR DIFFUSION, SITTING DROP, temperature 293K",3.42,64.01
3SG3,"VAPOR DIFFUSION, SITTING DROP",293,8.5,"0.2 M sodium chloride, 0.1 M Tris, pH 8.5, 25% PEG3350, VAPOR DIFFUSION, SITTING DROP, temperature 293K",3.5,64.87
3SG4,"VAPOR DIFFUSION, SITTING DROP",293,8.5,"0.2 M sodium chloride, 0.1 M Tris, pH 8.5, 25% PEG3350, VAPOR DIFFUSION, SITTING DROP, temperature 293K",3.48,64.63
3SG6,"VAPOR DIFFUSION, SITTING DROP",293,8.5,"0.2 M lithium sulfate, 0.1 M Tris, pH 8.5, 30% PEG4000, VAPOR DIFFUSION, SITTING DROP, temperature 293K",2.04,39.76
3SG7,"VAPOR DIFFUSION, SITTING DROP",293,8.5,"0.2 M ammonium sulfate, 0.1 M Tris, pH 8.5, 25% PEG3350, VAPOR DIFFUSION, SITTING DROP, temperature 293K",2.17,43.21
3WLC,"VAPOR DIFFUSION, HANGING DROP",293,8,"0.1M HEPES, 20% w/v PEG 3350, pH 8.0, VAPOR DIFFUSION, HANGING DROP, temperature 293K",1.95,36.94
3WLD,"VAPOR DIFFUSION, HANGING DROP",293,7.4,"0.1M HEPES, 18% w/v PEG 3350, pH 7.4, VAPOR DIFFUSION, HANGING DROP, temperature 293K",3.54,65.23
4ZBL,"VAPOR DIFFUSION, HANGING DROP",293,3.5,"0.09M citric acid, pH 3.5, 22.5% PEG 3350",2.24,45.15
7SAI,"VAPOR DIFFUSION, SITTING DROP",295,7.5,"800 mM KH2PO4/NaH2PO4, 100 mM HEPES",4.11,70.05
7SSX,,,,,,
7SSY,,,,,,
7UGT,"VAPOR DIFFUSION, HANGING DROP",291.15,,"0.1 M Tris-HCl pH 8.5, 30% PEG 4000, 100 mM magnesium chloride",2.37,48.08
8AAB,"VAPOR DIFFUSION, HANGING DROP",288,,"250 mM MgCl2; 100 mM HEPES 20% PEG 3350, pH 7,5",1.87,34.05
4FL6,VAPOR DIFFUSION,291,5.5,"25% PEG-3350, 0.2M ammonium acetate, 0.1M Bis-Tris, pH 5.5, vapor diffusion, temperature 291K",2.8,56.1
7FHK,,,,,,
7FHL,,,,,,
7FHN,,,,,,
7FHO,,,,,,
7SSV,,,,,,
7SSZ,,,,,,
7UGR,"VAPOR DIFFUSION, HANGING DROP",291.15,8.5,"0.1 M Tris-HCl pH 8.5, 25% PEG 3350, 0.2 M sodium acetate",2.31,46.84
4I2Y,"VAPOR DIFFUSION, HANGING DROP",277,5,"73mM malonic acid, 10mM ammonium citrate tribasic, 5mM succinic acid, 12mM malic acid, 16mM sodium acetate trihydrate, 20mM sodium formate, 6mM ammonium tartrate dibasic, 12% PEG 3350, pH 5, VAPOR DIFFUSION, HANGING DROP, temperature 277K",2.15,42.7
5EXC,"VAPOR DIFFUSION, HANGING DROP",293,,"0.2 M Mg formate, 20% PEG 3350",2.16,43.18
7AH9,,,,,,
7AHI,,,,,,
7Z01,"VAPOR DIFFUSION, HANGING DROP",293,,"0.2M Ammonium sulfate, 0.1M Bis/Tris-methane pH=5.5, 21% PEG 3000 (m/v)",2.33,47.28
7Z02,"VAPOR DIFFUSION, HANGING DROP",293,,"0.2M Ammonium sulfate, 0.1M Bis/Tris-methane pH=5.5, 21% PEG 3000 (m/v)",2.35,47.71
7DNB,"VAPOR DIFFUSION, SITTING DROP",293,,"0.056 M Sodium phosphate monobasic monohydrate, 1.344 M Potassium phosphate dibasic, pH 8.2",1.57,21.54
6FPA,"VAPOR DIFFUSION, SITTING DROP",293,7.4,"0.2 M NaF, 20% PEG3350",2.53,51.42
6FPB,"VAPOR DIFFUSION, SITTING DROP",293,7.4,"2 M NaCl, 10% PEG10000",2.46,49.99
7S7Y,"VAPOR DIFFUSION, SITTING DROP",296,6.5,"20% PEG 8,000
3% MPD
0.1 M Imidazole, pH 6.5",2.21,44.44
2N68,,,,,,
5BJO,"VAPOR DIFFUSION, HANGING DROP",294,,"30% PEG 550 MME, 0.1 M Tris-HCl pH 8.05",2.08,40.94
6FP9,"VAPOR DIFFUSION, SITTING DROP",293,6.5,"0.2 M (NH4)2SO4, 0.1 M MES pH 6.5, 20% PEG8000",2.89,57.46
7RY2,"VAPOR DIFFUSION, HANGING DROP",298,8.5,"100 mM Tris buffer (pH 8.5), 100 mM NaCl, 20% PEG-3350, 34 mg/mL protein",2.39,48.63
7S7X,"VAPOR DIFFUSION, SITTING DROP",296,9.5,"0.1 M CHES, pH 9.5
20% PEG 8,000",2.32,47.02
7SF9,"VAPOR DIFFUSION, HANGING DROP",293,8.5,"1.35 M Li2SO4, 0.09 M Tris",2.22,44.48
7SFA,"VAPOR DIFFUSION, HANGING DROP",293,8,"24% PEG 2000 MME, 0.08 M Tris",2.11,41.68
6HWP,"VAPOR DIFFUSION, SITTING DROP",293,6.5,1.6M Tri-sodium citrate,2.4,48.83
5BJP,"VAPOR DIFFUSION, HANGING DROP",294,,"32.5% PEG 550 MME, 0.1 M Tris-HCl pH 8.05",2.12,42.1
6FSQ,"VAPOR DIFFUSION, SITTING DROP",293,6.5,1.6M Tri-sodium citrate,2.41,48.88
8ARM,"VAPOR DIFFUSION, SITTING DROP",293,,"PEG3350, MES pH6.0",2.08,40.8
6YLQ,"VAPOR DIFFUSION, HANGING DROP",298,7.5,"PEG 8000, HEPES, magnesium chloride",1.9,35.43
1Z2Q,,,,,,
2PSF,"VAPOR DIFFUSION, HANGING DROP",293,7.4,"0.4M sodium acetate, 20% w/v PEG 3350, 1.8mM n-Decyl-beta-D-thiomaltoside, pH 7.4, VAPOR DIFFUSION, HANGING DROP, temperature 293K",2.1,41.38
2PSH,"VAPOR DIFFUSION, HANGING DROP",293,7.5,"0.1~M HEPES, 10% v/v isopropanol with 6mg/ml benzyl-coelenterazine, 15% w/v PEG 3350, pH 7.5, VAPOR DIFFUSION, HANGING DROP, temperature 293K",2.29,46.36
3JBM,,,,,,
6QPM,"VAPOR DIFFUSION, SITTING DROP",291,7.5,0.2 M Sodium nitrate 0.1 M Bis-Tris propane 7.5 20 % w/v PEG 3350,3.33,63.04
7F73,,,,,,
7LRQ,"VAPOR DIFFUSION, HANGING DROP",293,7.5,"22.5% PEG3350, 0.4 M MgCl2, 0.1 M HEPES pH 7.5",2.14,42.58
2PSJ,"VAPOR DIFFUSION, HANGING DROP",293,7.5,"0.1M HEPES, 10% v/v isopropanol with 6mg/ml coelenterazine, 15% w/v PEG 3350, pH 7.5, VAPOR DIFFUSION, HANGING DROP, temperature 293K",2.23,44.91
2W9Y,,,7.5,"20MM TRIS PH 7.8-8.5, 2.1-2.9M AMMONIUM SULFATE",2.3,46
3RA2,"VAPOR DIFFUSION, HANGING DROP",293,4,"20 mM Tris pH 7.5, 4% PEG 8000, 1 M NaCl, VAPOR DIFFUSION, HANGING DROP, temperature 293K",,
3RAA,"VAPOR DIFFUSION, HANGING DROP",293,7.5,"20 mM Tris pH 7.5, 4% PEG 4000, 1 M NaCl. Crystals were pre-soaked at pH 4 for 24 hours and transferred back to pH7.5 before data collection, VAPOR DIFFUSION, HANGING DROP, temperature 293K",,
6ZC5,"VAPOR DIFFUSION, SITTING DROP",293,6,"0.2 M CaCl2, 0.1 MES, 20% w/v PEG 6000",3.78,67.5
7S7U,"VAPOR DIFFUSION, HANGING DROP",293,,"20% PEG 3,350
0.2 M Sodium malonate, pH 8.0
0.1 M Bistrispropane, pH 8.5",4.31,71
7S7V,"VAPOR DIFFUSION, SITTING DROP",296,7.5,"12.5% PEG 1,000
12.5% PEG 3,350
12.5% MPD 
0.02 M of each amino acid
0.1 M MOPS/HEPES-Na, pH 7.5",2.73,54.88
7ZC2,,,,,,
3LS3,"VAPOR DIFFUSION, SITTING DROP",298,6.6,"35% PEG 400, 5% PEG 3000, 0.1M Hepes, 10% glycerol, 0.1M spermidine, pH 6.6, VAPOR DIFFUSION, SITTING DROP, temperature 298K",2.12,42.09
3LSA,"VAPOR DIFFUSION, SITTING DROP",298,6.6,"35% PEG 400, 5% PEG 3000, 0.1M Hepes, 10% glycerol, 0.1M spermidine, pH 6.6, VAPOR DIFFUSION, SITTING DROP, temperature 298K",2.18,43.6
3M24,"VAPOR DIFFUSION, SITTING DROP",298,7.5,"2.0 M ammonium sulfate, pH 7.5, VAPOR DIFFUSION, SITTING DROP, temperature 298K",2.85,56.86
3U8C,"VAPOR DIFFUSION, HANGING DROP",293,5.5,"0.2 M Ammonium Citrate, 20% PEG 3350, pH 5.5, VAPOR DIFFUSION, HANGING DROP, temperature 293K",2.13,42.33
4RTC,"VAPOR DIFFUSION, HANGING DROP",293,9,"14mM KH2PO4, pH 4.8, 14% PEG3350, VAPOR DIFFUSION, HANGING DROP, temperature 293.0K",2.8,56.02
4RYW,"VAPOR DIFFUSION, HANGING DROP",293,7,"0.1M Na Acetate pH=4.5, 30% (v/v) PEG 5000 mono methyl ether, pH 7.0, VAPOR DIFFUSION, HANGING DROP, temperature 293.0K",2.03,39.37
6WZN,"VAPOR DIFFUSION, SITTING DROP",298,6.2,1.6M citric acid pH 6.2,3.26,62.24
7SAL,"VAPOR DIFFUSION, SITTING DROP",295,6,100mM MIB buffer with 25% (w/v) PEG1500,2.72,54.75
2PSD,"VAPOR DIFFUSION, HANGING DROP",293,8,"0.3M NaCl, 1.25M diammonium phosphate, 0.1M imidazole, pH 8.0, VAPOR DIFFUSION, HANGING DROP, temperature 293K",2.67,53.95
2PSE,"VAPOR DIFFUSION, HANGING DROP",293,7.4,"0.15 KSCN, 15% w/v PEG 6000, 0.1 M Tris-HCl, pH 7.4, VAPOR DIFFUSION, HANGING DROP, temperature 293K",2.67,53.98
3RA4,"VAPOR DIFFUSION, HANGING DROP",293,7.5,"20 mM Tris pH7.5, 4% PEG 8000, 1M NaCl, VAPOR DIFFUSION, HANGING DROP, temperature 293K",,
3RA8,"VAPOR DIFFUSION, HANGING DROP",293,5.5,"20 mM Tris pH 7.5, 4% PEG 8000, 1M NaCl. Crystals presoaked in pH 5.5 cryosolvent for 24 hours before data collection, VAPOR DIFFUSION, HANGING DROP, temperature 293K",,
3RA9,"VAPOR DIFFUSION, HANGING DROP",293,6,"20 mM Tris pH 7.5, 4% PEG 8000, 1 M NaCl, Crystals were pre-soaked in pH6 cryosolvent for 24 hours, VAPOR DIFFUSION, HANGING DROP, temperature 293K",,
6G7P,"VAPOR DIFFUSION, SITTING DROP",295,7.5,"PEG500MME, PEG20000, Sodium HEPES, MOPS (acid), D-Glucose, D-Mannose, D-Galactose, L-Fucose, D-Xylose, N-Acetyl-D-Glucosamine.",2.15,42.78
7L31,,,,,,
2JEE,,,,,3.25,62
2UXT,,,8,"2.35 M NACL, 0.1 M IMIDAZOLE PH 8.25",1.88,34.6
2UXV,,,8.5,"2.35M NACL 0.1M IMIDAZOLE, PH 8.5",2.06,40.44
3QAY,"VAPOR DIFFUSION, HANGING DROP",292,8.2,"0.1 M Tris-HCl, 0.2 M LiSO4, 20 % PEG 4000, pH 8.2, VAPOR DIFFUSION, HANGING DROP, temperature 292K",2.27,45.82
4AUR,,,,,2.8,56
4ZUZ,"VAPOR DIFFUSION, HANGING DROP",298,7.5,"PEG 8000, Hepes, NaCl",2.96,58.41
5AZC,"VAPOR DIFFUSION, HANGING DROP",293,,"Tris, CaCl2, PEG2000MME",2.61,52.91
5NOC,,,,,,
5WD6,"VAPOR DIFFUSION, HANGING DROP",291,7.5,"0.1M HEPES pH 7.5, 0.2M CaCl2, 9% PEG 3350, 5% IPA",1.88,34.46
6F5J,,,,,,
6MRN,"VAPOR DIFFUSION, HANGING DROP",298,7.5,"0.1M HEPES sodium pH 7.5, 2% (v/v) PEG 400, 2M ammonium sulfate, 0.3M NDSB-195",2.04,39.63
6NHT,,,,,,
6O1T,"VAPOR DIFFUSION, HANGING DROP",291.15,7.5,"0.1M HEPES PH 7.5, 0.2M CALCIUM CHLORIDE, 9% PEG 3350, 5% ISOPROPYL ALCOHOL, VAPOR DIFFUSION, HANGING DROP, TEMPERATURE 291.15K",2.66,53.81
7OIN,"VAPOR DIFFUSION, HANGING DROP",288,,"0.1M Lithium sulfate, 0.1M Ammonium acetate, 0.1 M Bis-tris pH 6.5, 23% PEG 3350",1.78,30.77
7S7T,"VAPOR DIFFUSION, HANGING DROP",293,,"20% PEG 3,350
0.2 M Sodium malonate, pH 8.0
0.1 M Bistrispropane, pH 8.5",4.31,71.44
4OY4,"VAPOR DIFFUSION, SITTING DROP",277.15,7.5,"0.2 M Ammonium sulfate, 0.1 M HEPES pH 7.5, 25% w/v Polyethylene glycol 3,350, 10 mM EGTA",2.15,42.88
7KUY,,,,,,
1NFR,"VAPOR DIFFUSION, HANGING DROP",296,7.5,"ammonium sulfate, PEG 400, HEPES, pH 7.5, VAPOR DIFFUSION, HANGING DROP, temperature 296K",2.34,47.12
1TWB,"VAPOR DIFFUSION, HANGING DROP",293,6.5,"PEG 6000, MAGNESIUM ACETATE, ETHYLENE GLYCOL, SODIUM CACODYLATE (ph 5.7), pH 6.5, VAPOR DIFFUSION, HANGING DROP, temperature 293K",2.78,55.73
2VMA,,,7,"1UL PROTEIN, 1UL RESERVOIR: 12.5% PEG 400, 200MM CAOAC2, 100MM MES PH 7.0",2,38.08
